college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
269,10018,10.9,1540,,Washington University in St Louis,179867,FALSE,FALSE,FALSE
270,10290,10.84,1450,,Duke University,198419,FALSE,FALSE,FALSE
271,16591,10.82,1310,,Washington University in St Louis,179867,FALSE,FALSE,FALSE
272,237761,10.82,1310,,University of Wisconsin-Madison,240444,FALSE,FALSE,FALSE
273,16655,10.74,1540,30,Bowdoin College,161004,TRUE,FALSE,FALSE
274,10252,10.73,1310,,Harvard University,166027,FALSE,FALSE,TRUE
275,10483,10.73,,25,Georgetown University,131496,FALSE,FALSE,FALSE
276,10256,10.67,1340,28,Emory University,139658,FALSE,FALSE,FALSE
277,10066,10.65,,32,University of Michigan-Ann Arbor,170976,FALSE,FALSE,FALSE
278,10255,10.65,1070,,Harvard University,166027,FALSE,FALSE,FALSE
279,10136,10.62,,34,Hamilton College,191515,FALSE,FALSE,FALSE
280,10061,10.61,1400,,University of Chicago,144050,FALSE,FALSE,FALSE
281,10302,10.59,,22,Duke University,198419,FALSE,FALSE,FALSE
282,10199,10.58,1010,,Trinity College,130590,FALSE,FALSE,FALSE
283,15912,10.56,1160,24,Williams College,168342,FALSE,FALSE,FALSE
284,10209,10.53,1160,23,Brown University,217156,FALSE,FALSE,FALSE
285,10316,10.53,1560,,Pomona College,121345,FALSE,FALSE,FALSE
286,10164,10.52,,34,Georgetown University,131496,FALSE,FALSE,FALSE
287,10254,10.51,,35,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
288,10027,10.47,,35,University of Wisconsin-Madison,240444,FALSE,FALSE,FALSE
289,10182,10.47,1190,,Dartmouth College,182670,FALSE,FALSE,FALSE
290,10424,10.44,1400,,Hamilton College,191515,FALSE,FALSE,TRUE
291,10768,10.44,1590,24,University of Chicago,144050,FALSE,FALSE,FALSE
292,10805,10.44,1590,,Georgetown University,131496,FALSE,FALSE,FALSE
293,10342,10.43,,,Barnard College,189097,FALSE,FALSE,FALSE
294,10695,10.42,1110,,Georgetown University,131496,FALSE,FALSE,FALSE
295,10114,10.41,,34,Dartmouth College,182670,TRUE,FALSE,TRUE
296,10754,10.41,,31,Williams College,168342,FALSE,FALSE,FALSE
